name,padj,protein_atlas,keep,go_bladder_disease,go_urinary_bladder_cancer,go_bladder_carcinoma,go_count,go_condensed,scRNA_normal_class,scRNA_cancer_class,scRNA_cancer_conf_level,scRNA_normal_conf_level,degree.x,hub_score,betweenness.x,closeness.x,eigenvector.x,community,module,in_signature_module,expression,go_bladder_score,classification_agreement,combined_confidence,protein_atlas_category,keep_numeric
MAPK3,1.5e-16,uro_cells,yes,no,no,no,0,no,non_urothelial,uro_cells,Low,Low,416,0.798164152237351,690.198579410622,0.00252525252525253,0.798164152237349,3,4,FALSE,0.255071540454685,0,Inconsistent,Low_Low,Urothelial,0
MAPT,8.5e-08,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,Medium,High,82,0.178980188927291,13.8908928037703,0.00177619893428064,0.178980188927291,3,3,TRUE,0.676653217275698,0,Consistent,High_Medium,Urothelial,0
MCL1,2.4e-29,uro_cells,yes,no,no,no,0,no,uro_cells,uro_cells,High,High,124,0.297330965270832,18.0546181659608,0.0018450184501845,0.297330965270832,3,4,FALSE,-0.596428339896535,0,Consistent,High_High,Urothelial,0
MKI67,2.1e-24,uro_cells,yes,no,yes,no,1,yes,non_urothelial,non_urothelial,Low,High,106,0.261502302303829,14.8148224095027,0.00181488203266788,0.261502302303829,4,5,FALSE,-0.372161073071214,2,Consistent,High_Low,Urothelial,0
MMP3,4.4e-32,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,High,Medium,108,0.262047944078451,16.8201689483391,0.00181818181818182,0.262047944078451,4,5,FALSE,-0.259915071063881,0,Consistent,Medium_High,Urothelial,0
MMP9,2.1e-32,ambiguous,review,no,yes,no,1,yes,non_urothelial,non_urothelial,High,High,246,0.545672718314599,129.549097476602,0.00207900207900208,0.545672718314599,4,5,FALSE,-0.0376994249981127,2,Consistent,High_High,Ambiguous,2
NCK1,1e-41,uro_cells,yes,no,no,no,0,no,non_urothelial,uro_cells,Low,Low,112,0.218127686391486,31.4559252019277,0.00182481751824818,0.218127686391486,2,3,TRUE,-0.388368839679536,0,Inconsistent,Low_Low,Urothelial,0
NES,1.5e-13,bladder_related,review,no,no,no,0,no,non_urothelial,non_urothelial,High,Medium,104,0.242528623145694,13.829220363012,0.00181159420289855,0.242528623145694,4,5,FALSE,0.707162510703218,0,Consistent,Medium_High,Other,2
NGFR,3.3e-25,uro_cells,yes,yes,no,no,1,yes,non_urothelial,non_urothelial,High,High,152,0.315580707933193,59.4404325699802,0.00189393939393939,0.315580707933193,2,2,TRUE,0.186121057954457,1,Consistent,High_High,Urothelial,0
NPM1,1.1e-22,uro_cells,yes,no,no,no,0,no,uro_cells,uro_cells,High,High,100,0.219340604019097,21.0959840213248,0.00180505415162455,0.219340604019097,3,4,FALSE,0.0713593064045491,0,Consistent,High_High,Urothelial,0
NR3C1,2.6e-16,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,Medium,Low,122,0.285033976662041,25.2528607834039,0.00184162062615101,0.285033976662041,3,4,FALSE,-0.178793825145716,0,Consistent,Low_Medium,Urothelial,0
