gene_symbol	ensembl_gene_id	description	module	degree	hub_score	rwr_score	max_diff	padj	protein_atlas	receptor	uro_receptor	keep	go_bladder_disease	go_urinary_bladder_cancer	go_bladder_carcinoma	go_count	go_condensed	mean_expr_UroA	mean_expr_UroB	mean_expr_UroC	mean_expr_GU	mean_expr_BaSq	scRNA_normal_class	scRNA_normal_conf_score	scRNA_normal_conf_level	scRNA_cancer_class	scRNA_cancer_conf_score	scRNA_cancer_conf_level
CTNND1	ENSG00000198561	catenin delta 1	3	88	0.19	0.00231	1.07	1.80E-26	uro_cells	NA	NA	yes	no	no	no	0	no	0.591	0.255	0.053	-0.477	-0.104	uro_cells	1.40	Medium	non_urothelial	2.87	Low
CTTN	ENSG00000288401	cortactin	3	96	0.2	0.00129	1.06	3.60E-24	uro_cells	NA	NA	yes	no	no	no	0	no	0.557	0.395	-0.032	-0.498	-0.223	uro_cells	1.45	Medium	uro_cells	2.13	Medium
DNM2	ENSG00000079805	dynamin 2	3	70	0.14	0.00219	1.73	1.70E-54	uro_cells	NA	NA	yes	no	no	no	0	no	0.76	0.074	0.072	-0.2	-0.972	non_urothelial	3.12	Low	uro_cells	0.75	Low
LYN	ENSG00000254087	LYN proto-oncogene, Src family tyrosine kinase	3	204	0.43	0.00177	1.36	9.30E-31	uro_cells	NA	NA	yes	no	no	no	0	no	-0.612	0.13	-0.355	0.255	0.748	non_urothelial	3.30	Low	uro_cells	0.61	Low
MAPT	ENSG00000277956	microtubule associated protein tau	3	82	0.18	0.00116	1.01	8.50E-08	uro_cells	NA	NA	yes	no	no	no	0	no	-0.228	-0.331	0.677	0.232	-0.274	non_urothelial	3.98	High	non_urothelial	3.93	Medium
NCK1	ENSG00000158092	NCK adaptor protein 1	3	112	0.22	0.00341	1.83	1.00E-41	uro_cells	NA	NA	yes	no	no	no	0	no	-0.399	0.202	-0.388	-0.394	1.427	non_urothelial	2.14	Low	uro_cells	0.91	Low
PPP2CA	ENSG00000113575	protein phosphatase 2 catalytic subunit alpha	3	122	0.26	0.00135	1.11	1.80E-10	uro_cells	NA	NA	yes	no	no	no	0	no	0.273	0.076	-0.238	-0.419	0.69	uro_cells	1.46	Medium	uro_cells	1.72	Medium
PTK2	ENSG00000169398	protein tyrosine kinase 2	3	212	0.47	0.00302	1.11	2.20E-21	uro_cells	NA	NA	yes	no	no	no	0	no	0.539	0.048	0.259	-0.26	-0.571	non_urothelial	2.05	Low	uro_cells	1.25	Medium
PTK2B	ENSG00000120899	protein tyrosine kinase 2 beta	3	116	0.25	0.00439	1.11	4.40E-20	uro_cells	NA	NA	yes	no	no	no	0	no	0.485	0.158	-0.27	-0.621	-0.186	non_urothelial	3.39	Medium	non_urothelial	3.53	Low
PXN	ENSG00000089159	paxillin	3	186	0.4	0.00292	1.29	1.50E-30	uro_cells	NA	NA	yes	no	no	no	0	no	0.544	0.109	0.151	-0.749	-0.154	non_urothelial	2.26	Low	uro_cells	0.99	Medium
RAC2	ENSG00000128340	Rac family small GTPase 2	3	116	0.23	0.00136	1.11	3.20E-18	uro_cells	NA	NA	yes	no	no	no	0	no	-0.428	0.159	0.104	-0.342	0.684	non_urothelial	3.64	Medium	non_urothelial	3.95	Medium
SRC	ENSG00000291971	SRC proto-oncogene, non-receptor tyrosine kinase	3	470	0.88	0.00627	1.24	7.50E-18	uro_cells	NA	NA	yes	no	no	no	0	no	0.469	0.148	0.454	0.016	-0.767	non_urothelial	3.07	Low	uro_cells	0.79	Low
AKT3	ENSG00000275199	AKT serine/threonine kinase 3	4	116	0.26	0.00256	1	5.60E-18	uro_cells	NA	NA	yes	no	no	no	0	no	-0.575	-0.282	0.426	0.191	0.24	non_urothelial	3.71	Medium	non_urothelial	2.87	Low
BRCA1	ENSG00000012048	BRCA1 DNA repair associated	4	156	0.34	0.00266	1.28	1.90E-31	uro_cells	NA	NA	yes	no	yes	no	1	yes	-0.41	-0.38	-0.225	0.872	0.418	non_urothelial	3.96	High	non_urothelial	3.30	Low
CASP8	ENSG00000064012	caspase 8	4	150	0.35	0.00247	1.09	1.00E-19	uro_cells	NA	NA	yes	no	no	no	0	no	0.379	0.435	-0.138	-0.65	-0.255	non_urothelial	3.53	Medium	uro_cells	1.10	Medium
CASP9	ENSG00000132906	caspase 9	4	124	0.3	0.00239	1.23	2.40E-14	uro_cells	NA	NA	yes	no	yes	no	1	yes	0.272	0.034	0.035	0.337	-0.892	non_urothelial	3.71	Medium	non_urothelial	3.25	Low
CCNA2	ENSG00000145386	cyclin A2	4	108	0.24	0.00237	1.24	1.20E-31	uro_cells	NA	NA	yes	no	no	no	0	no	-0.424	-0.211	-0.439	0.796	0.647	non_urothelial	3.96	High	non_urothelial	3.74	Medium
CCNB1	ENSG00000134057	cyclin B1	4	112	0.24	0.00236	1.16	9.40E-30	uro_cells	NA	NA	yes	no	no	no	0	no	-0.389	-0.238	-0.24	0.735	0.774	non_urothelial	3.86	Medium	non_urothelial	3.50	Low
CCND1	ENSG00000110092	cyclin D1	4	306	0.62	0.00541	1.44	3.50E-39	uro_cells	NA	NA	yes	no	yes	yes	2	yes	0.547	0.401	-0.26	-0.894	-0.089	uro_cells	1.39	Medium	uro_cells	2.37	High
CDKN1A	ENSG00000124762	cyclin dependent kinase inhibitor 1A	4	162	0.37	0.00261	1.06	2.30E-16	uro_cells	NA	NA	yes	no	yes	no	1	yes	0.441	0.062	-0.251	-0.614	0.006	uro_cells	1.72	High	uro_cells	0.78	Low
CDKN2A	ENSG00000147889	cyclin dependent kinase inhibitor 2A	4	222	0.5	0.00495	1.24	8.20E-23	uro_cells	NA	NA	yes	no	yes	yes	2	yes	-0.318	-0.41	-0.259	0.831	-0.03	non_urothelial	3.69	Medium	uro_cells	3.75	High
CREB1	ENSG00000118260	cAMP responsive element binding protein 1	4	176	0.41	0.00154	1.07	1.40E-16	uro_cells	NA	NA	yes	no	no	no	0	no	0.287	0.221	-0.235	-0.779	-0.163	non_urothelial	2.56	Low	uro_cells	0.79	Low
CTNNB1	ENSG00000168036	catenin beta 1	4	446	0.83	0.00617	1.03	8.60E-22	uro_cells	NA	NA	yes	no	yes	no	1	yes	0.488	-0.14	0.032	-0.542	-0.379	uro_cells	1.46	Medium	uro_cells	1.26	Medium
EZH2	ENSG00000106462	enhancer of zeste 2 polycomb repressive complex 2 subunit	4	124	0.27	0.00243	1.45	3.40E-50	uro_cells	NA	NA	yes	no	yes	yes	2	yes	-0.507	-0.333	-0.343	0.946	0.451	non_urothelial	3.70	Medium	uro_cells	1.17	Medium
FOXO1	ENSG00000150907	forkhead box O1	4	152	0.33	0.00147	1.14	2.50E-26	uro_cells	NA	NA	yes	no	no	no	0	no	0.467	-0.2	-0.285	-0.676	-0.436	non_urothelial	3.29	Low	uro_cells	0.61	Low
HIF1A	ENSG00000100644	hypoxia inducible factor 1 subunit alpha	4	296	0.61	0.00325	1.58	5.20E-25	uro_cells	NA	NA	yes	yes	no	no	1	yes	0.111	0.255	-0.478	-0.83	0.752	uro_cells	1.47	Medium	uro_cells	2.01	Medium
HSPA4	ENSG00000170606	heat shock protein family A (Hsp70) member 4	4	166	0.35	0.00257	1.22	2.30E-26	uro_cells	NA	NA	yes	no	no	no	0	no	0.589	0.159	0.053	-0.63	-0.136	non_urothelial	2.54	Low	uro_cells	1.01	Medium
HSPA5	ENSG00000044574	heat shock protein family A (Hsp70) member 5	4	98	0.24	0.00119	1.38	1.10E-11	uro_cells	NA	NA	yes	no	no	no	0	no	-0.273	-0.146	-0.628	0.119	0.755	uro_cells	1.81	High	uro_cells	2.99	High
MAPK3	ENSG00000102882	mitogen-activated protein kinase 3	4	416	0.8	0.00591	1.06	1.50E-16	uro_cells	NA	NA	yes	no	no	no	0	no	-0.403	-0.294	0.255	0.653	-0.107	non_urothelial	3.31	Low	uro_cells	0.98	Low
MCL1	ENSG00000143384	MCL1 apoptosis regulator, BCL2 family member	4	124	0.3	0.00239	1.46	2.40E-29	uro_cells	NA	NA	yes	no	no	no	0	no	-0.547	0.146	-0.596	0.183	0.864	uro_cells	1.77	High	uro_cells	3.27	High
NPM1	ENSG00000181163	nucleophosmin 1	4	100	0.22	0.00126	1.23	1.10E-22	uro_cells	NA	NA	yes	no	no	no	0	no	0.414	-0.054	0.071	-0.784	0.448	uro_cells	2.15	High	uro_cells	3.87	High
NR3C1	ENSG00000113580	nuclear receptor subfamily 3 group C member 1	4	122	0.29	0.00131	1.37	2.60E-16	uro_cells	NA	NA	yes	no	no	no	0	no	-0.088	-0.058	-0.179	-0.79	0.583	non_urothelial	3.07	Low	non_urothelial	3.97	Medium
