"node_id","node_label","expression","degree","is_signature","betweenness","closeness","eigenvector","hub_score","authority_score","community","mean_expr_UroB","mean_expr_GU","mean_expr_UroA","mean_expr_BaSq","mean_expr_UroC","go_pval","go_padj","go_description","go_hub_score","go_rank","module","in_signature_module","random_walk_score"
"MKI67","MKI67",-0.372161073071214,106,FALSE,14.8148224095027,0.00181488203266788,0.261502302303829,0.261502302303829,0.261502302303829,4,-0.321104070946923,0.718608835690819,-0.388750633650211,0.422758468444974,-0.372161073071214,6.97904857141204e-27,2.0867355228522e-24,"urinary bladder cancer; bladder disease",0.261502302303829,61,5,FALSE,0.00232411021727641
"MMP2","MMP2",0.374496047006337,176,FALSE,55.2181503203383,0.00193798449612403,0.409838088590604,0.409838088590604,0.409838088590603,4,-0.102916372888053,-0.456635421350621,-0.289124803272724,0.211885059714626,0.374496047006337,,,,,,,,
"MMP3","MMP3",-0.259915071063881,108,FALSE,16.8201689483391,0.00181818181818182,0.262047944078451,0.262047944078451,0.262047944078451,4,0.0627591727788874,0.308865763419951,-0.562342082828028,0.733902481892642,-0.259915071063881,1.4705503568786e-34,4.39694556706702e-32,"Not annotated",0.262047944078451,32,5,FALSE,0.00121810943154246
"MMP9","MMP9",-0.0376994249981127,246,FALSE,129.549097476602,0.00207900207900208,0.545672718314599,0.545672718314599,0.545672718314598,4,0.232802904605261,0.0805956055853068,-0.654161052789918,0.479726579194511,-0.0376994249981127,6.86116922364392e-35,2.05148959786953e-32,"urinary bladder cancer",0.545672718314599,31,5,FALSE,0.00294374467769823
"MTOR","MTOR",-0.190006385921314,252,FALSE,148.886883903888,0.00209205020920502,0.557865415513445,0.557865415513445,0.557865415513444,3,-0.0251895047165652,0.0253578636676443,0.194034393289116,-0.408567938806614,-0.190006385921314,,,,,,,,
"NANOG","NANOG",-0.230647144878441,118,FALSE,22.3055837764458,0.0018348623853211,0.265098626282902,0.265098626282902,0.265098626282901,4,-0.0212774164445506,-0.106725841839792,-0.0119270921248703,0.123350017593596,-0.230647144878441,,,,,,,,
"NCAM1","NCAM1",0.00468435109664341,144,FALSE,48.2838527361018,0.0018796992481203,0.31263741457639,0.31263741457639,0.31263741457639,1,-0.137196674789806,-0.104628786982743,-0.138049083321286,-0.0743758087702829,0.00468435109664341,,,,,,,,
"NCK1","NCK1",-0.388368839679536,112,FALSE,31.4559252019277,0.00182481751824818,0.218127686391486,0.218127686391486,0.218127686391485,2,0.202434079679104,-0.393581952190391,-0.398657472095615,1.42720975451271,-0.388368839679536,3.44604437560686e-44,1.03036726830645e-41,"Not annotated",0.218127686391486,15,3,TRUE,0.00340535589565015
"NES","NES",0.707162510703218,104,FALSE,13.829220363012,0.00181159420289855,0.242528623145694,0.242528623145694,0.242528623145694,4,-0.341669324966551,0.0578508480559317,-0.494830986762336,0.15547827013173,0.707162510703218,5.08704652306118e-16,1.52102691039529e-13,"Not annotated",0.242528623145694,104,5,FALSE,0.0012527205446387
"NF1","NF1",-0.110379542146192,114,FALSE,25.4720000915571,0.00182815356489945,0.251553643070471,0.251553643070471,0.25155364307047,3,0.137091293298547,-0.372937092911917,0.439304836610749,-0.360053458930793,-0.110379542146192,,,,,,,,
"NFKBIA","NFKBIA",-0.172152397705317,194,FALSE,78.9222891834515,0.0019723865877712,0.433073709704947,0.433073709704947,0.433073709704946,3,0.384499289542239,-0.0615884132445399,-0.271943350594906,0.137778467656433,-0.172152397705317,,,,,,,,
"NGF","NGF",0.238261967301635,226,FALSE,140.119127658306,0.00203665987780041,0.483770533049593,0.483770533049594,0.483770533049594,2,-0.276948265518956,-0.0925412566719496,-0.476066790776493,0.41860075628535,0.238261967301635,,,,,,,,
"NGFR","NGFR",0.186121057954457,152,FALSE,59.4404325699802,0.00189393939393939,0.315580707933193,0.315580707933193,0.315580707933193,2,-0.112971593881921,-0.272662620721337,-0.51607664830491,0.648324151327763,0.186121057954457,1.09169897436534e-27,3.26417993335237e-25,"bladder disease",0.315580707933193,57,2,TRUE,0.00169804773749151
"NPM1","NPM1",0.0713593064045491,100,FALSE,21.0959840213248,0.00180505415162455,0.219340604019097,0.219340604019097,0.219340604019097,3,-0.0538219321768411,-0.78353224815715,0.414033294431147,0.44824988239784,0.0713593064045491,3.74059297762463e-25,1.11843730030976e-22,"Not annotated",0.219340604019097,72,4,FALSE,0.00125797066935611
"NR3C1","NR3C1",-0.178793825145716,122,FALSE,25.2528607834039,0.00184162062615101,0.285033976662041,0.285033976662041,0.28503397666204,3,-0.0584057988857702,-0.789612659555855,-0.0879381795149876,0.582818261430783,-0.178793825145716,8.62973984081876e-19,2.58029221240481e-16,"Not annotated",0.285033976662041,96,4,FALSE,0.00130622223392587
